House_Id,variable,value
515,Neighborhood,Crawfor
520,Neighborhood,Crawfor
530,Neighborhood,Crawfor
599,Neighborhood,Crawfor
609,Neighborhood,Crawfor
658,Neighborhood,Crawfor
670,Neighborhood,Crawfor
674,Neighborhood,Crawfor
727,Neighborhood,Crawfor
853,Neighborhood,Crawfor
861,Neighborhood,Crawfor
908,Neighborhood,Crawfor
914,Neighborhood,Crawfor
956,Neighborhood,Crawfor
967,Neighborhood,Crawfor
1013,Neighborhood,Crawfor
1035,Neighborhood,Crawfor
1060,Neighborhood,Crawfor
1076,Neighborhood,Crawfor
1148,Neighborhood,Crawfor
1153,Neighborhood,Crawfor
1162,Neighborhood,Crawfor
1175,Neighborhood,Crawfor
1179,Neighborhood,Crawfor
1182,Neighborhood,Crawfor
1236,Neighborhood,Crawfor
1245,Neighborhood,Crawfor
1269,Neighborhood,Crawfor
1275,Neighborhood,Crawfor
1302,Neighborhood,Crawfor
1311,Neighborhood,Crawfor
1344,Neighborhood,Crawfor
1406,Neighborhood,Crawfor
1420,Neighborhood,Crawfor
1441,Neighborhood,Crawfor
1458,Neighborhood,Crawfor
40,Neighborhood,Edwards
98,Neighborhood,Edwards
99,Neighborhood,Edwards
111,Neighborhood,Edwards
118,Neighborhood,Edwards
146,Neighborhood,Edwards
156,Neighborhood,Edwards
166,Neighborhood,Edwards
176,Neighborhood,Edwards
183,Neighborhood,Edwards
194,Neighborhood,Edwards
201,Neighborhood,Edwards
211,Neighborhood,Edwards
212,Neighborhood,Edwards
240,Neighborhood,Edwards
270,Neighborhood,Edwards
293,Neighborhood,Edwards
309,Neighborhood,Edwards
353,Neighborhood,Edwards
363,Neighborhood,Edwards
376,Neighborhood,Edwards
387,Neighborhood,Edwards
388,Neighborhood,Edwards
391,Neighborhood,Edwards
396,Neighborhood,Edwards
411,Neighborhood,Edwards
419,Neighborhood,Edwards
440,Neighborhood,Edwards
442,Neighborhood,Edwards
446,Neighborhood,Edwards
473,Neighborhood,Edwards
503,Neighborhood,Edwards
524,Neighborhood,Edwards
529,Neighborhood,Edwards
536,Neighborhood,Edwards
554,Neighborhood,Edwards
563,Neighborhood,Edwards
564,Neighborhood,Edwards
583,Neighborhood,Edwards
608,Neighborhood,Edwards
621,Neighborhood,Edwards
639,Neighborhood,Edwards
648,Neighborhood,Edwards
652,Neighborhood,Edwards
660,Neighborhood,Edwards
664,Neighborhood,Edwards
672,Neighborhood,Edwards
698,Neighborhood,Edwards
724,Neighborhood,Edwards
725,Neighborhood,Edwards
739,Neighborhood,Edwards
750,Neighborhood,Edwards
772,Neighborhood,Edwards
773,Neighborhood,Edwards
815,Neighborhood,Edwards
840,Neighborhood,Edwards
881,Neighborhood,Edwards
888,Neighborhood,Edwards
918,Neighborhood,Edwards
922,Neighborhood,Edwards
943,Neighborhood,Edwards
955,Neighborhood,Edwards
979,Neighborhood,Edwards
986,Neighborhood,Edwards
1001,Neighborhood,Edwards
1012,Neighborhood,Edwards
1021,Neighborhood,Edwards
1036,Neighborhood,Edwards
1046,Neighborhood,Edwards
1050,Neighborhood,Edwards
1054,Neighborhood,Edwards
1073,Neighborhood,Edwards
1074,Neighborhood,Edwards
1089,Neighborhood,Edwards
1123,Neighborhood,Edwards
1124,Neighborhood,Edwards
1145,Neighborhood,Edwards
1152,Neighborhood,Edwards
1169,Neighborhood,Edwards
1180,Neighborhood,Edwards
1186,Neighborhood,Edwards
1213,Neighborhood,Edwards
1255,Neighborhood,Edwards
1258,Neighborhood,Edwards
1274,Neighborhood,Edwards
1295,Neighborhood,Edwards
1298,Neighborhood,Edwards
1299,Neighborhood,Edwards
1305,Neighborhood,Edwards
1315,Neighborhood,Edwards
1320,Neighborhood,Edwards
1327,Neighborhood,Edwards
1333,Neighborhood,Edwards
1378,Neighborhood,Edwards
1381,Neighborhood,Edwards
1385,Neighborhood,Edwards
1424,Neighborhood,Edwards
1449,Neighborhood,Edwards
1453,Neighborhood,Edwards
1460,Neighborhood,Edwards
51,Neighborhood,Gilbert
73,Neighborhood,Gilbert
85,Neighborhood,Gilbert
87,Neighborhood,Gilbert
96,Neighborhood,Gilbert
112,Neighborhood,Gilbert
132,Neighborhood,Gilbert
148,Neighborhood,Gilbert
160,Neighborhood,Gilbert
169,Neighborhood,Gilbert
206,Neighborhood,Gilbert
222,Neighborhood,Gilbert
235,Neighborhood,Gilbert
256,Neighborhood,Gilbert
267,Neighborhood,Gilbert
278,Neighborhood,Gilbert
311,Neighborhood,Gilbert
316,Neighborhood,Gilbert
335,Neighborhood,Gilbert
357,Neighborhood,Gilbert
371,Neighborhood,Gilbert
380,Neighborhood,Gilbert
405,Neighborhood,Gilbert
412,Neighborhood,Gilbert
416,Neighborhood,Gilbert
434,Neighborhood,Gilbert
448,Neighborhood,Gilbert
493,Neighborhood,Gilbert
535,Neighborhood,Gilbert
545,Neighborhood,Gilbert
559,Neighborhood,Gilbert
574,Neighborhood,Gilbert
617,Neighborhood,Gilbert
666,Neighborhood,Gilbert
709,Neighborhood,Gilbert
738,Neighborhood,Gilbert
747,Neighborhood,Gilbert
752,Neighborhood,Gilbert
781,Neighborhood,Gilbert
795,Neighborhood,Gilbert
823,Neighborhood,Gilbert
858,Neighborhood,Gilbert
869,Neighborhood,Gilbert
883,Neighborhood,Gilbert
903,Neighborhood,Gilbert
904,Neighborhood,Gilbert
910,Neighborhood,Gilbert
923,Neighborhood,Gilbert
930,Neighborhood,Gilbert
942,Neighborhood,Gilbert
966,Neighborhood,Gilbert
1019,Neighborhood,Gilbert
1051,Neighborhood,Gilbert
1067,Neighborhood,Gilbert
1085,Neighborhood,Gilbert
1108,Neighborhood,Gilbert
1109,Neighborhood,Gilbert
1111,Neighborhood,Gilbert
1117,Neighborhood,Gilbert
1125,Neighborhood,Gilbert
1128,Neighborhood,Gilbert
1129,Neighborhood,Gilbert
1135,Neighborhood,Gilbert
1168,Neighborhood,Gilbert
1190,Neighborhood,Gilbert
1196,Neighborhood,Gilbert
1197,Neighborhood,Gilbert
1212,Neighborhood,Gilbert
1225,Neighborhood,Gilbert
1259,Neighborhood,Gilbert
1261,Neighborhood,Gilbert
1301,Neighborhood,Gilbert
1330,Neighborhood,Gilbert
1364,Neighborhood,Gilbert
1389,Neighborhood,Gilbert
1402,Neighborhood,Gilbert
1431,Neighborhood,Gilbert
1434,Neighborhood,Gilbert
1456,Neighborhood,Gilbert
22,Neighborhood,IDOTRR
31,Neighborhood,IDOTRR
53,Neighborhood,IDOTRR
62,Neighborhood,IDOTRR
89,Neighborhood,IDOTRR
105,Neighborhood,IDOTRR
109,Neighborhood,IDOTRR
122,Neighborhood,IDOTRR
126,Neighborhood,IDOTRR
269,Neighborhood,IDOTRR
297,Neighborhood,IDOTRR
308,Neighborhood,IDOTRR
326,Neighborhood,IDOTRR
330,Neighborhood,IDOTRR
366,Neighborhood,IDOTRR
399,Neighborhood,IDOTRR
449,Neighborhood,IDOTRR
496,Neighborhood,IDOTRR
558,Neighborhood,IDOTRR
602,Neighborhood,IDOTRR
654,Neighborhood,IDOTRR
706,Neighborhood,IDOTRR
712,Neighborhood,IDOTRR
730,Neighborhood,IDOTRR
802,Neighborhood,IDOTRR
813,Neighborhood,IDOTRR
897,Neighborhood,IDOTRR
917,Neighborhood,IDOTRR
999,Neighborhood,IDOTRR
1062,Neighborhood,IDOTRR
1097,Neighborhood,IDOTRR
1121,Neighborhood,IDOTRR
1154,Neighborhood,IDOTRR
1280,Neighborhood,IDOTRR
1326,Neighborhood,IDOTRR
1334,Neighborhood,IDOTRR
1386,Neighborhood,IDOTRR
24,Neighborhood,MeadowV
76,Neighborhood,MeadowV
345,Neighborhood,MeadowV
358,Neighborhood,MeadowV
435,Neighborhood,MeadowV
490,Neighborhood,MeadowV
491,Neighborhood,MeadowV
615,Neighborhood,MeadowV
650,Neighborhood,MeadowV
916,Neighborhood,MeadowV
1008,Neighborhood,MeadowV
1039,Neighborhood,MeadowV
1040,Neighborhood,MeadowV
1069,Neighborhood,MeadowV
1087,Neighborhood,MeadowV
1368,Neighborhood,MeadowV
1450,Neighborhood,MeadowV
6,Neighborhood,Mitchel
47,Neighborhood,Mitchel
72,Neighborhood,Mitchel
82,Neighborhood,Mitchel
138,Neighborhood,Mitchel
187,Neighborhood,Mitchel
202,Neighborhood,Mitchel
275,Neighborhood,Mitchel
277,Neighborhood,Mitchel
296,Neighborhood,Mitchel
361,Neighborhood,Mitchel
392,Neighborhood,Mitchel
421,Neighborhood,Mitchel
423,Neighborhood,Mitchel
455,Neighborhood,Mitchel
484,Neighborhood,Mitchel
514,Neighborhood,Mitchel
548,Neighborhood,Mitchel
562,Neighborhood,Mitchel
593,Neighborhood,Mitchel
614,Neighborhood,Mitchel
768,Neighborhood,Mitchel
776,Neighborhood,Mitchel
780,Neighborhood,Mitchel
784,Neighborhood,Mitchel
792,Neighborhood,Mitchel
818,Neighborhood,Mitchel
877,Neighborhood,Mitchel
909,Neighborhood,Mitchel
941,Neighborhood,Mitchel
944,Neighborhood,Mitchel
954,Neighborhood,Mitchel
985,Neighborhood,Mitchel
1009,Neighborhood,Mitchel
1049,Neighborhood,Mitchel
1132,Neighborhood,Mitchel
1139,Neighborhood,Mitchel
1171,Neighborhood,Mitchel
1177,Neighborhood,Mitchel
1191,Neighborhood,Mitchel
1194,Neighborhood,Mitchel
1248,Neighborhood,Mitchel
1253,Neighborhood,Mitchel
1284,Neighborhood,Mitchel
1328,Neighborhood,Mitchel
1408,Neighborhood,Mitchel
1435,Neighborhood,Mitchel
1447,Neighborhood,Mitchel
1454,Neighborhood,Mitchel
220,BldgType,TwnhsE
230,BldgType,TwnhsE
386,BldgType,TwnhsE
444,BldgType,TwnhsE
466,BldgType,TwnhsE
560,BldgType,TwnhsE
598,BldgType,TwnhsE
640,BldgType,TwnhsE
791,BldgType,TwnhsE
852,BldgType,TwnhsE
983,BldgType,1Fam
1005,BldgType,TwnhsE
1020,BldgType,TwnhsE
1024,BldgType,TwnhsE
1127,BldgType,TwnhsE
1395,BldgType,TwnhsE
1416,BldgType,TwnhsE
600,BldgType,Twnhs
957,BldgType,TwnhsE
226,BldgType,Twnhs
228,BldgType,Twnhs
233,BldgType,Twnhs
236,BldgType,TwnhsE
364,BldgType,Twnhs
431,BldgType,Twnhs
433,BldgType,TwnhsE
501,BldgType,Twnhs
656,BldgType,Twnhs
838,BldgType,Twnhs
1030,BldgType,Twnhs
1105,BldgType,TwnhsE
1220,BldgType,Twnhs
1292,BldgType,Twnhs
1335,BldgType,TwnhsE
1379,BldgType,Twnhs
10,BldgType,Duplex
16,BldgType,1Fam
30,BldgType,1Fam
52,BldgType,1Fam
78,BldgType,1Fam
147,BldgType,1Fam
150,BldgType,1Fam
185,BldgType,1Fam
251,BldgType,1Fam
276,BldgType,1Fam
290,BldgType,1Fam
329,BldgType,1Fam
346,BldgType,1Fam
362,BldgType,1Fam
394,BldgType,1Fam
438,BldgType,1Fam
443,BldgType,1Fam
460,BldgType,1Fam
498,BldgType,1Fam
523,BldgType,1Fam
532,BldgType,1Fam
534,BldgType,1Fam
547,BldgType,1Fam
556,BldgType,1Fam
585,BldgType,1Fam
587,BldgType,1Fam
590,BldgType,1Fam
637,BldgType,1Fam
695,BldgType,1Fam
697,BldgType,1Fam
711,BldgType,1Fam
714,BldgType,Duplex
762,BldgType,1Fam
808,BldgType,1Fam
827,BldgType,1Fam
913,BldgType,1Fam
936,BldgType,1Fam
961,BldgType,1Fam
975,BldgType,1Fam
977,BldgType,1Fam
996,BldgType,1Fam
1099,BldgType,1Fam
1136,BldgType,1Fam
1140,BldgType,1Fam
1146,BldgType,1Fam
1203,BldgType,1Fam
1219,BldgType,1Fam
1256,BldgType,1Fam
1264,BldgType,1Fam
1286,BldgType,1Fam
1322,BldgType,1Fam
1324,BldgType,1Fam
1353,BldgType,1Fam
1390,BldgType,1Fam
1398,BldgType,1Fam
1401,BldgType,1Fam
1415,BldgType,1Fam
1444,BldgType,1Fam
70,BldgType,1Fam
121,BldgType,1Fam
154,BldgType,1Fam
167,BldgType,1Fam
177,BldgType,1Fam
250,BldgType,1Fam
272,BldgType,1Fam
280,BldgType,1Fam
352,BldgType,1Fam
359,BldgType,1Fam
372,BldgType,1Fam
385,BldgType,1Fam
452,BldgType,1Fam
458,BldgType,1Fam
589,BldgType,1Fam
683,BldgType,1Fam
707,BldgType,1Fam
790,BldgType,1Fam
801,BldgType,1Fam
819,BldgType,1Fam
829,BldgType,1Fam
849,BldgType,1Fam
940,BldgType,1Fam
1066,BldgType,1Fam
1174,BldgType,1Fam
1263,BldgType,1Fam
1271,BldgType,1Fam
1288,BldgType,1Fam
1,BldgType,1Fam
3,BldgType,1Fam
14,BldgType,1Fam
23,BldgType,1Fam
33,BldgType,1Fam
37,BldgType,1Fam
44,BldgType,1Fam
58,BldgType,1Fam
60,BldgType,1Fam
65,BldgType,1Fam
68,BldgType,1Fam
90,BldgType,1Fam
95,BldgType,1Fam
97,BldgType,1Fam
104,BldgType,1Fam
113,BldgType,1Fam
120,BldgType,1Fam
139,BldgType,1Fam
140,BldgType,1Fam
142,BldgType,1Fam
144,BldgType,1Fam
151,BldgType,1Fam
193,BldgType,1Fam
195,BldgType,1Fam
204,BldgType,TwnhsE
214,BldgType,1Fam
215,BldgType,1Fam
217,BldgType,1Fam
221,BldgType,1Fam
234,BldgType,1Fam
237,BldgType,1Fam
249,BldgType,1Fam
258,BldgType,1Fam
259,BldgType,1Fam
262,BldgType,1Fam
291,BldgType,1Fam
302,BldgType,1Fam
303,BldgType,1Fam
304,BldgType,1Fam
306,BldgType,1Fam
338,BldgType,1Fam
356,BldgType,1Fam
375,BldgType,1Fam
377,BldgType,1Fam
383,BldgType,1Fam
389,BldgType,1Fam
397,BldgType,1Fam
402,BldgType,1Fam
429,BldgType,1Fam
436,BldgType,1Fam
445,BldgType,1Fam
465,BldgType,1Fam
477,BldgType,1Fam
479,BldgType,1Fam
519,BldgType,1Fam
537,BldgType,1Fam
540,BldgType,1Fam
591,BldgType,1Fam
594,BldgType,TwnhsE
595,BldgType,1Fam
605,BldgType,1Fam
607,BldgType,1Fam
611,BldgType,1Fam
613,BldgType,1Fam
653,BldgType,1Fam
671,BldgType,1Fam
684,BldgType,1Fam
691,BldgType,TwnhsE
705,BldgType,1Fam
720,BldgType,1Fam
722,BldgType,TwnhsE
728,BldgType,1Fam
733,BldgType,1Fam
740,BldgType,1Fam
753,BldgType,1Fam
757,BldgType,1Fam
769,BldgType,1Fam
777,BldgType,1Fam
783,BldgType,1Fam
803,BldgType,1Fam
812,BldgType,TwnhsE
816,BldgType,1Fam
821,BldgType,1Fam
833,BldgType,1Fam
839,BldgType,1Fam
848,BldgType,1Fam
851,BldgType,TwnhsE
857,BldgType,1Fam
872,BldgType,1Fam
880,BldgType,1Fam
912,BldgType,1Fam
929,BldgType,1Fam
934,BldgType,1Fam
939,BldgType,1Fam
949,BldgType,1Fam
953,BldgType,1Fam
959,BldgType,1Fam
964,BldgType,1Fam
984,BldgType,1Fam
994,BldgType,1Fam
1000,BldgType,1Fam
1006,BldgType,1Fam
1017,BldgType,1Fam
1022,BldgType,1Fam
1026,BldgType,1Fam
1034,BldgType,1Fam
1038,BldgType,1Fam
1048,BldgType,1Fam
1052,BldgType,1Fam
1055,BldgType,1Fam
1075,BldgType,1Fam
1079,BldgType,TwnhsE
1080,BldgType,1Fam
1083,BldgType,1Fam
1096,BldgType,1Fam
1122,BldgType,1Fam
1143,BldgType,1Fam
1167,BldgType,1Fam
1189,BldgType,1Fam
1199,BldgType,1Fam
1202,BldgType,1Fam
1204,BldgType,1Fam
1208,BldgType,1Fam
1238,BldgType,1Fam
1241,BldgType,1Fam
1279,BldgType,1Fam
1281,BldgType,1Fam
1283,BldgType,1Fam
1308,BldgType,1Fam
1312,BldgType,1Fam
1317,BldgType,1Fam
1319,BldgType,1Fam
1332,BldgType,1Fam
1339,BldgType,1Fam
1340,BldgType,1Fam
1343,BldgType,1Fam
1345,BldgType,1Fam
1355,BldgType,1Fam
1367,BldgType,1Fam
1369,BldgType,TwnhsE
1370,BldgType,1Fam
1373,BldgType,1Fam
1391,BldgType,1Fam
1403,BldgType,1Fam
1407,BldgType,1Fam
1411,BldgType,1Fam
1423,BldgType,TwnhsE
1442,BldgType,TwnhsE
1445,BldgType,1Fam
1448,BldgType,1Fam
4,BldgType,1Fam
93,BldgType,1Fam
114,BldgType,1Fam
115,BldgType,1Fam
182,BldgType,1Fam
191,BldgType,1Fam
219,BldgType,1Fam
252,BldgType,TwnhsE
300,BldgType,1Fam
301,BldgType,Duplex
408,BldgType,1Fam
418,BldgType,1Fam
439,BldgType,1Fam
464,BldgType,1Fam
504,BldgType,1Fam
515,BldgType,1Fam
520,BldgType,1Fam
530,BldgType,1Fam
599,BldgType,1Fam
609,BldgType,1Fam
658,BldgType,1Fam
670,BldgType,1Fam
674,BldgType,1Fam
727,BldgType,1Fam
853,BldgType,1Fam
861,BldgType,1Fam
908,BldgType,1Fam
914,BldgType,Duplex
956,BldgType,Duplex
967,BldgType,1Fam
1013,BldgType,1Fam
1035,BldgType,1Fam
1060,BldgType,1Fam
1076,BldgType,1Fam
1148,BldgType,1Fam
1153,BldgType,1Fam
1162,BldgType,1Fam
1175,BldgType,1Fam
1179,BldgType,1Fam
1182,BldgType,TwnhsE
1236,BldgType,1Fam
1245,BldgType,1Fam
1269,BldgType,1Fam
1275,BldgType,1Fam
1302,BldgType,1Fam
1311,BldgType,1Fam
1344,BldgType,1Fam
1406,BldgType,TwnhsE
1420,BldgType,1Fam
1441,BldgType,1Fam
1458,BldgType,1Fam
40,BldgType,Duplex
98,BldgType,1Fam
99,BldgType,1Fam
111,BldgType,1Fam
118,BldgType,1Fam
146,BldgType,Twnhs
156,BldgType,1Fam
166,BldgType,Duplex
176,BldgType,1Fam
183,BldgType,1Fam
194,BldgType,Twnhs
201,BldgType,1Fam
211,BldgType,1Fam
212,BldgType,1Fam
240,BldgType,1Fam
270,BldgType,1Fam
293,BldgType,1Fam
309,BldgType,1Fam
353,BldgType,1Fam
363,BldgType,1Fam
376,BldgType,1Fam
387,BldgType,1Fam
388,BldgType,1Fam
391,BldgType,1Fam
396,BldgType,1Fam
411,BldgType,1Fam
419,BldgType,1Fam
440,BldgType,1Fam
442,BldgType,Duplex
446,BldgType,1Fam
473,BldgType,TwnhsE
503,BldgType,1Fam
524,BldgType,1Fam
529,BldgType,1Fam
536,BldgType,Duplex
554,BldgType,1Fam
563,BldgType,1Fam
564,BldgType,1Fam
583,BldgType,Duplex
608,BldgType,1Fam
621,BldgType,1Fam
639,BldgType,1Fam
648,BldgType,1Fam
652,BldgType,1Fam
660,BldgType,1Fam
664,BldgType,1Fam
672,BldgType,1Fam
698,BldgType,1Fam
724,BldgType,1Fam
725,BldgType,1Fam
739,BldgType,Duplex
750,BldgType,1Fam
772,BldgType,1Fam
773,BldgType,1Fam
815,BldgType,1Fam
840,BldgType,1Fam
881,BldgType,1Fam
888,BldgType,1Fam
918,BldgType,1Fam
922,BldgType,Duplex
